"Table 1101. Quintiles of income before taxes: Shares of annual aggregate expenditures and sources of income, Consumer Expenditure Surveys, 2024",,,,,,,,
"(Aggregates in millions of dollars, unless otherwise indicated)",,,,,,,,
,,,,,,,,
Item,Aggregate,"Lowest
20
percent","Second
20
percent","Third
20
percent","Fourth
20
percent","Highest
20
percent",,
Personal insurance and pensions,"1,330,096",1.5,5.5,12.7,24.4,55.9,,
Life and other personal insurance,"78,089",6.1,10.6,15.0,21.5,46.8,,
"Retirement, pensions, and Social Security","1,252,008",1.2,5.2,12.5,24.6,56.5,,
,,,,,,,,
Sources of pretax income:,,,,,,,,
,,,,,,,,
Income before taxes,"$14,147,182",3.2,8.2,14.2,23.4,51.0,,
Wages and salaries,"10,978,160",1.3,5.8,13.6,24.8,54.5,,
Self-employment income,"961,724",.8 b/,4.0,9.4,16.6,69.1,,
"Social Security, private and government retirement","1,581,095",15.2,27.0,22.3,19.7,15.7,,
"Interest, dividends, rental income, and other property income","416,253",1.5,5.4,8.6,17.9,66.6,,
"Public assistance, Supplemental Security Income, Supplementary Nutrition Assistance Program (SNAP)","84,199",45.4,25.7,16.2,7.8,5.0 b/,,
"Unemployment and workers' compensation, veterans' benefits, and regular contributions for support","86,229",9.0,12.4,17.7,25.2,35.7 b/,,
Other income,"39,523",27.4,17.1,18.1,17.2,20.1,,
,,,,,,,,
a Data are rounded to the nearest thousands.,,,,,,,,
b Data have a Relative Standard Error (RSE) equal to or greater than 25 percent. These estimates should be used with caution. See www.bls.gov/cex/tables-getting-started-guide.htm#section5 for more information.,,,,,,,,
c Value is too small to display.,,,,,,,,
d No data reported.,,,,,,,,
e Data are likely to have large sampling errors.,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"Source: Consumer Expenditure Surveys, U.S. Bureau of Labor Statistics, December, 2025",,,,,,,,
